Jaar,LEEFTIJD,GESLACHT,vervoerwijze,vervoerwijzefilter,wegvak/kruispunt,wegbeheerder,wegnummer,HECTOMETER,STRAAT1,STRAAT2,STRAAT3,GEMEENTE,PROVINCIE,type locatie,X_COORD,Y_COORD,Lat,Lon
2006,67,M,Personenauto,1,32151001,,,,Retranchementseweg,Bosweg,GROENE WEG,Sluis Z,Zeeland,W,16483,375782,51.35425148,3.398533467
2006,9,M,Personenauto,1,47133006,,,,Buitendijk,Buitendijk,Galgenstraat,Sluis Z,Zeeland,K,23959,366700,51.27443359,3.509163952
2006,56,M,Personenauto,1,53155002,,,"178,8",Rijksweg,Middendijk,Schoondijkseweg,Sluis Z,Zeeland,W,26789,377298,51.37030384,3.545870315
2006,0,V,Personenauto,1,60143043,,,"0,6",Middenweg,Oranjestraat,Turkeijeweg,Sluis Z,Zeeland,K,30224,371642,51.32025263,3.597172306
2006,58,V,Fiets,2,61175056,,,,Bermweg,Kanaalstraat,Spoorstraat,Vlissingen,Zeeland,K,30524,387701,51.46461131,3.595816353
2006,70,V,Fiets,2,64182012,,,,Kanaalweg,Kanaalweg,Stationsbrug,Middelburg,Zeeland,K,32152,391096,51.49547324,3.61804917
2006,42,M,Personenauto,1,72182053,,,"16,3",RYKSWG,ARNEMUIDEN & BS 37,RYKSWG,Middelburg,Zeeland,W,37245,391810,51.502977,3.691123711
2006,25,M,Personenauto,1,73177006,,,"25,9",Sloeweg Noord,RITTHEM,Sloeweg Noord,Vlissingen,Zeeland,W,36970,389020,51.47785002,3.688101106
2006,11,V,Personenauto,1,73196005,,,,Ruiterplaatweg,Aalscholverlaan,Bergeendlaan,Noord Beveland,Zeeland,W,36807,398183,51.56014917,3.682670608
2006,76,V,Fiets,2,79223003,,,,Hogeweg,A van de Weijdeweg,GRAVENHOF,Schouwen-Duiveland,Zeeland,W,39988,412018,51.68512338,3.723970438
2006,51,M,Personenauto,1,80168006,,,,Europaweg Oost,IJslandweg,Polenweg,Borsele,Zeeland,W,40402,384563,51.43850957,3.738937154
2006,42,M,Motor,4,82170015,,,"3,4",Westerscheldetunnelweg,Westerscheldetunnelweg,Assenburgweg,Borsele,Zeeland,W,41241,385511,51.44719787,3.750693783
2006,10,V,Personenauto,1,83140004,,,"1,8",Hoofdweg,Hasjesstraat,Hoofdweg,Terneuzen,Zeeland,W,41707,370095,51.30876702,3.762334643
2006,21,V,Personenauto,1,83140004,,,"1,8",Hoofdweg,Hasjesstraat,Hoofdweg,Terneuzen,Zeeland,W,41707,370095,51.30876702,3.762334643
2006,55,V,Fiets,2,88122030,,,,Oostdam,Oostdam,Westkade,Terneuzen,Zeeland,K,44222,361101,51.22844504,3.801194263
2006,24,M,Bestelauto,5,88137002,,,"1,8",Westerscheldetunnelweg,Hoofdweg,Westerscheldetunnelweg,Terneuzen,Zeeland,W,44303,370401,51.31203032,3.799457667
2006,75,M,Motor,4,88152004,,,"2,7",Westerscheldetunnelweg,Westerscheldetunnelweg,Westerscheldetunnelweg,Borsele,Zeeland,W,44427,379182,51.39095999,3.798493144
